COD_IBGE;MUNICIPIO;COD_REGIAO_COVID;REGIAO_COVID;BAIRRO;QUANTIDADE_CASOS
430060;ALVORADA;7;PORTO ALEGRE - R10;FORMAZA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;FORMNOSA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FORMOSA;682
430060;ALVORADA;7;PORTO ALEGRE - R10;FORMOSA / NOVA PETROPOLIS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FORMOZA;1027
430060;ALVORADA;7;PORTO ALEGRE - R10;FORMOZZA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FOROSA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FRANCISCO SPINELLI;1
430060;ALVORADA;7;PORTO ALEGRE - R10;FREDERICO DIHL;1
430060;ALVORADA;7;PORTO ALEGRE - R10;GAERMANIA I;1
430060;ALVORADA;7;PORTO ALEGRE - R10;GERAMANIA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;GERMANIA;13
430060;ALVORADA;7;PORTO ALEGRE - R10;GERMANIA 1;1
430060;ALVORADA;7;PORTO ALEGRE - R10;GERMANIA 2;3
430060;ALVORADA;7;PORTO ALEGRE - R10;GERMANIA I;6
430060;ALVORADA;7;PORTO ALEGRE - R10;GERMANIA II;3
430060;ALVORADA;7;PORTO ALEGRE - R10;GERMNIA II;1
430060;ALVORADA;7;PORTO ALEGRE - R10;GLORIA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;GRANJA ESPERANCA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;GUAJUVIRAS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;HAMBURGO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;HELENITA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;HIDRAULICA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;HIGIENOPOLIS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;HIPICA;3
430060;ALVORADA;7;PORTO ALEGRE - R10;HUMAITA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ICARAI;2
430060;ALVORADA;7;PORTO ALEGRE - R10;IGNORADO;15
430060;ALVORADA;7;PORTO ALEGRE - R10;INDIANOPOLIS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;INTERIOR;2
430060;ALVORADA;7;PORTO ALEGRE - R10;INTERSIL;1
430060;ALVORADA;7;PORTO ALEGRE - R10;INTERSUK;1
430060;ALVORADA;7;PORTO ALEGRE - R10;INTERSUL;548
430060;ALVORADA;7;PORTO ALEGRE - R10;INTRSUL;2
430060;ALVORADA;7;PORTO ALEGRE - R10;IPANEMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ISABEL;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ITACORUBI;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ITARARE;2
430060;ALVORADA;7;PORTO ALEGRE - R10;ITU COIHMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ITU SABARA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;J ALGARVE;34
430060;ALVORADA;7;PORTO ALEGRE - R10;J ALVORADA;7
430060;ALVORADA;7;PORTO ALEGRE - R10;J APARECIDA;21
430060;ALVORADA;7;PORTO ALEGRE - R10;J POA;6
430060;ALVORADA;7;PORTO ALEGRE - R10;J PORT ALEGRE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;J PORTO ALEGRE;18
430060;ALVORADA;7;PORTO ALEGRE - R10;J PORTO ALGRE;2
430060;ALVORADA;7;PORTO ALEGRE - R10;J, ALVORADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;J. ALGARVE;13
430060;ALVORADA;7;PORTO ALEGRE - R10;J. ALRGAVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;J. ALVORADA;3
430060;ALVORADA;7;PORTO ALEGRE - R10;J. APARECIDA;6
430060;ALVORADA;7;PORTO ALEGRE - R10;J. POA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;J. PORTO ALEGRE;2
430060;ALVORADA;7;PORTO ALEGRE - R10;J.ALGARVE;5
430060;ALVORADA;7;PORTO ALEGRE - R10;J.ALVORADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;J.APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JA APARECIDA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JACINTO GOMES;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JADIM ALGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JADIM APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JAEDIM ALGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARD ALGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARD PORTO ALEGRE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDI PORTO ALEGRE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM  ALGARVE;3
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM  APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALEGRE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGAIVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARBE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARCE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARDE;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARV;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARVE;1736
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARVE';2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARVE.;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARVEQ;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARVER;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGARVI;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGAVARE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGAVE;4
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGAVERVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGERE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALGRAVE;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALOARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALOGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALOGAVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ALVORADA;142
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM AMERICA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM AOARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM APARECEIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM APARECIDA;239
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM APARECIDO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ATACAVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM CARVALHO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM CENTRO OESTE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM COCAO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM DO COCAO;3
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM DO SALSO;3
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ESPLANADA;14
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM FLORESTA;3
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM IMBU;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM INGA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM IPIRANGA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ITALIA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ITAPEMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM ITU;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM LAGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM LEOPOLDINA;6
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM LGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM MAPARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM MARINGA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM MEDIANEIRA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM N S APARECID;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM NOSSA SENHORA APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM NOSSA SENHORA DE FATIMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM PLANALTO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM POA;3
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM PORTO ALEGERE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM PORTO ALEGRE;161
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM PORTO VERDE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM REPRISE;5
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM SANTA BARBAR;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM SANTA HELENA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM SAO PEDRO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM SAO ROQUE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM TRES FIGUEIR;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM TRES FIGUEIRAS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIM UNIVERSITARIO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIMA APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIMALGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIN ALGARVE;10
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIN ALVORADA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDIN LEOPOLDINA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDM ALGRAVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDOM ALGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARDOM ALVORADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JARI-VIAMAO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD ALGARNE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD ALGARVE;223
430060;ALVORADA;7;PORTO ALEGRE - R10;JD ALGAVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD ALV;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD ALVORADA;56
430060;ALVORADA;7;PORTO ALEGRE - R10;JD APARE4CIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD APARECIDA;165
430060;ALVORADA;7;PORTO ALEGRE - R10;JD COCAO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD DO COCAO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD ESPLANADA;3
430060;ALVORADA;7;PORTO ALEGRE - R10;JD FATIMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD FLOR DA MONTANHA;1
